"","Model","MAE","MAPE","RMSE"
"545","Stacked Model w/ Polynomial",42.14,0.0247434412606617,53.94
"146","Linear Model",243.38,0.143220156881754,363.05
"250","Linear w/ lag",42.3,0.0239004090596713,103.72
"355","ARIMA",109.08,0.0640690287787956,227.04
"455","Stacked Model",36.24,0.0219909421800414,48.2
"546","Stacked Model w/ Polynomial",37.97,0.0229849798626828,50.36
"147","Linear Model",246.37,0.146614097987883,345.11
"251","Linear w/ lag",40.42,0.0231520739120235,110.65
"356","ARIMA",116.14,0.0679853025634847,227.07
"456","Stacked Model",34.88,0.0209691193488646,46.4
"547","Stacked Model w/ Polynomial",37.53,0.0224704700453576,49.26
"148","Linear Model",246.24,0.143779626187628,343.15
"252","Linear w/ lag",38.9,0.0221017858025893,90.37
"357","ARIMA",101.36,0.0594361154267048,216.78
"457","Stacked Model",36.44,0.0218746126018288,46.42
"548","Stacked Model w/ Polynomial",38.28,0.02285779076275,49.11
"149","Linear Model",250.94,0.144045477038036,358.09
"253","Linear w/ lag",40.3,0.0229622721046085,99.48
"358","ARIMA",108.23,0.0649859422317821,217.94
"458","Stacked Model",39.59,0.0238169540313067,51.34
"549","Stacked Model w/ Polynomial",41.82,0.0251067804736353,54.11
"150","Linear Model",264.13,0.153794228430667,363.83
"254","Linear w/ lag",52.08,0.0282679357274113,180.9
"359","ARIMA",107.07,0.0626202040802205,223.12
"459","Stacked Model",40.09,0.0236917995773449,48.88
"550","Stacked Model w/ Polynomial",42.2,0.0248996199069989,51.4
"151","Linear Model",244.69,0.14625718826515,345.09
"255","Linear w/ lag",40.69,0.0243368232370267,86.49
"360","ARIMA",105.64,0.063313372551062,222.83
"460","Stacked Model",46.86,0.0295370043330335,58.46
"551","Stacked Model w/ Polynomial",47.77,0.0299741698675114,60.17
"152","Linear Model",243.18,0.143805873079544,337.44
"256","Linear w/ lag",40.52,0.0227991603241852,89.23
"361","ARIMA",109.17,0.0650705404731538,220.74
"461","Stacked Model",39.48,0.0233977291912054,52.72
"552","Stacked Model w/ Polynomial",40.99,0.0242405903080984,54.86
"153","Linear Model",249.41,0.144935666235859,349.2
"257","Linear w/ lag",57.94,0.0322326744563188,182.85
"362","ARIMA",116.92,0.0683013012072237,226.56
"462","Stacked Model",38.62,0.0237767902662253,48.96
"553","Stacked Model w/ Polynomial",41.01,0.0252579061068692,51.88
"154","Linear Model",251.77,0.145216581966329,361.3
"258","Linear w/ lag",37.59,0.0214386752656945,77.69
"363","ARIMA",112.19,0.0645449386625687,233.87
"463","Stacked Model",40.53,0.0239181564277943,52.77
"554","Stacked Model w/ Polynomial",42.13,0.0248849515157556,55.05
"155","Linear Model",240.32,0.141324536240242,351.03
"259","Linear w/ lag",43.14,0.0242285039250699,87.62
"364","ARIMA",110.02,0.0646162571271363,233.66
"464","Stacked Model",31.43,0.0193397677918268,40.64
"555","Stacked Model w/ Polynomial",32.94,0.0201492918202999,43.3
"156","Linear Model",241.44,0.140500521996038,340.86
"260","Linear w/ lag",41.95,0.0237753548953985,106.56
"365","ARIMA",110.63,0.0661008058010399,224.01
"465","Stacked Model",41.14,0.0241888426974431,52.05
"556","Stacked Model w/ Polynomial",43.45,0.0255872049313425,54.93
"157","Linear Model",248.75,0.146757279860869,342.26
"261","Linear w/ lag",52,0.0294144432089968,130.92
"366","ARIMA",116.53,0.0689291857242827,224.82
"466","Stacked Model",33.78,0.0201875961209521,44.46
"557","Stacked Model w/ Polynomial",36.44,0.0217927993765838,47.77
"158","Linear Model",242.38,0.143309737738491,343.02
"262","Linear w/ lag",45.63,0.0258132816939877,122.94
"367","ARIMA",117.68,0.0709501940726479,224.84
"467","Stacked Model",35.46,0.0214064509270817,46.63
"558","Stacked Model w/ Polynomial",37.41,0.0225167151660379,49.94
"159","Linear Model",261.01,0.149119341815332,358.86
"263","Linear w/ lag",51.06,0.0280964978709878,148.47
"368","ARIMA",104.33,0.0602604864988189,223.72
"468","Stacked Model",45.57,0.0271454815439992,56.53
"559","Stacked Model w/ Polynomial",46.08,0.0272810931422155,57.9
"160","Linear Model",241.56,0.141840856288929,340.41
"264","Linear w/ lag",36.62,0.0214219219107452,57.64
"369","ARIMA",110.34,0.065267293311597,222.39
"469","Stacked Model",36.8,0.0216649692567353,47.81
"560","Stacked Model w/ Polynomial",39.36,0.0230786955501945,51.27
"161","Linear Model",250.37,0.147740594685858,353.15
"265","Linear w/ lag",40.21,0.0223296872808289,100.93
"370","ARIMA",115.31,0.067590474654223,227.84
"470","Stacked Model",38.79,0.0233276755938035,49.55
"561","Stacked Model w/ Polynomial",40.77,0.0245004345720236,51.85
"162","Linear Model",252.18,0.150283960178504,356.41
"266","Linear w/ lag",46.92,0.0266071696441919,132.74
"371","ARIMA",111.17,0.0662153724737975,229.02
"471","Stacked Model",43.77,0.0268096673810139,54.22
"562","Stacked Model w/ Polynomial",45.65,0.0279474992193225,57.02
"163","Linear Model",246.21,0.140187129626242,351.89
"267","Linear w/ lag",41.02,0.0232808849358195,101.58
"372","ARIMA",107.97,0.0629391224627214,229.21
"472","Stacked Model",47.71,0.029546512738641,60.32
"563","Stacked Model w/ Polynomial",49.23,0.0302333804583732,61.85
"164","Linear Model",239.13,0.139397393186332,344.73
"268","Linear w/ lag",37.38,0.0204583036938044,75.89
"373","ARIMA",106.28,0.0610962532955049,224.94
"473","Stacked Model",40.03,0.0240463946943318,51.72
"564","Stacked Model w/ Polynomial",42,0.0250830499719067,54.66
"165","Linear Model",251.95,0.149624580458676,364.08
"269","Linear w/ lag",44.38,0.0250586487711612,135.78
"374","ARIMA",117.43,0.0710238466346864,232.32
"474","Stacked Model",34.8,0.0209441186974729,44.75
"565","Stacked Model w/ Polynomial",36.67,0.0219475399228677,47.48
"166","Linear Model",244.39,0.14481024734507,351.87
"270","Linear w/ lag",44.06,0.0255699465581308,110.44
"375","ARIMA",116.67,0.0705022967277488,224.9
"475","Stacked Model",36.01,0.0218394031277731,47.4
"566","Stacked Model w/ Polynomial",38.19,0.0231180080072291,50.2
"167","Linear Model",247.98,0.146327890848443,349.42
"271","Linear w/ lag",38.63,0.0220855918192522,105.21
"376","ARIMA",108.61,0.0650471285697099,221.28
"476","Stacked Model",35.37,0.021543196457897,46.2
"567","Stacked Model w/ Polynomial",37.03,0.0224655653201774,48.71
"168","Linear Model",237.23,0.137766382960806,346.6
"272","Linear w/ lag",39.6,0.0223819588011102,110.09
"377","ARIMA",101.95,0.0601506708334015,221.55
"477","Stacked Model",42.17,0.024819635372626,53.68
"568","Stacked Model w/ Polynomial",43.96,0.0258282963844151,56.33
"169","Linear Model",247.47,0.145447606618167,349.8
"273","Linear w/ lag",39.53,0.022453673590113,73.6
"378","ARIMA",115.11,0.0676667791346122,227.23
